uid,Progress,Duration (in seconds),Finished,ResponseId,LocationLatitude,LocationLongitude,mael_1,mael_2,mael_3,mael_4,mael_5,mael_6,bergami_org,bergami_dept,disengagement_1,exhaustion_1,exhaustion_2,exhaustion_3,disengagement_2,disengagement_3,pros,cons,story,bergami_org_num,bergami_dept_num,mael_avg,Length of Service in Years,Job Title,Division,Department,Function,Work Location,Work State,Work Country,Legal Entity Name,Year of Birth,Gender,EEO Code,2019 Performance,2020 Performance,LINK,Collabera,Race,2019_perf_dummy,2020_perf_dummy
U169,100,415,TRUE,R_1jJpQeRzYbWzO35,22.30029297,73.20509338,5,5,5,5,5,5,G,H,1,3,4,1,2,3,It's our second home and family :) Collabera has given me a identity what I am today as a person ,"I know we work in US culture, but leaves should be given on Indian festivals as we miss sometimes some special moments with our family too ","We at collabera always work as a team and work with a very healthy competition

We are   insanely competitive ",7.0,8.0,5.0,7.46,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Female,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_bx6T01HpUy6hyKN&Q_CHL=gl,1,Asian,1.0,1.0
U122,100,348,TRUE,R_1mz1d8tLZ7yeTJv,38.96090698,-77.34290314,4,4,5,5,5,5,C,F,2,3,2,3,1,3,"I love the support and partnerships built through my work. I feel we make an impact with our end clients, but also with each candidate - at the end of the day, my job helps others, which is very important to me!","I feel there is too much dumped on some, while others have a light load. ",Work hard/play hard - numerous accounts of my team staying to support positions in the evenings and weekends! I love the mentality that Collabera brings to do things quickly and efficiently. ,3.0,6.0,4.666666666666667,8.56,Senior Account Manager,Enterprise Services Group,Sales,Sales,Reston (Sunrise Valley),Virginia,U.S.A.,Collabera Inc.,1986,Female,White,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_4JgvKrva8hpIcId&Q_CHL=gl,1,White,,
U165,100,563,TRUE,R_2aS3yHYqeG5IHNP,21.19799805,72.83000183,2,2,5,3,4,5,C,F,2,2,3,2,2,1,Culture and work environment along with my team is the best reason I can say. ,"Yes, It's truly a pressurised environment to work with deep pocket profit. Required more employee centeric approach ","1) Underpay fixed income which is a major concern.
2) Employee can't depend on variables.
3)Flexibility on leaves specially the earned ones.
4)Work culture is really really good which includes employee engagement activities.
",3.0,6.0,3.5,7.57,Delivery Lead,Managed Services,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1981,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_1UnLJZ9JYIH435z&Q_CHL=gl,1,Asian,1.0,1.0
U72,100,1024,TRUE,R_1Hhhuyzr8OVngvr,22.30029297,73.20509338,5,4,5,5,5,4,F,G,2,3,3,2,2,3,"I don't feel like just an employee, here my opinion matters. individual development has equal importance. ",pressure to deliver best at all time is some time difficult and can drain you out. ,"""Work hard, Play Hard""... we work hard everyday to outperform the competition and when the time comes to celebrate no one no better than us be it ""Employee appreciation week""  ""President's club"" weekly fun activity, lot of contests etc. ",6.0,7.0,4.666666666666667,10.87,Senior Delivery Manager,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1988,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_cXZQ9kZVX18EUfj&Q_CHL=gl,1,Asian,1.0,1.0
U214,100,554,TRUE,R_1oirDlLz93Fcxhm,40.12010193,-74.05940247,5,5,5,5,5,5,E,F,1,1,4,2,1,3,"The management team I'm a part of, my manager, my team, the spirit, the passion, the drive, the aggressiveness.  Our company rocks.",Lack of communication sometimes which ends up hurting us rather than helping us.  ,There are so many stories about our culture.  Spending Employee Appreciation Week together and seeing the smiling faces of our employees feeling thankful and having fun.  Planning and being a part of International Women's Day and seeing the women at Collabera loving what the company is doing for them.  Traveling around to the different offices and spending time with people on the floor and seeing their passion and the comradery between teammates.,5.0,6.0,5.0,6.53,Senior Vice President,Strategic Accounts Team,Sales,Client Acquisition,Basking Ridge (Allen Road),New Jersey,U.S.A.,Collabera Inc.,1967,Female,White,Not Achieved,Not Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_aY1SHqohR1HpDMN&Q_CHL=gl,1,White,0.0,0.0
U139,100,739,TRUE,R_30tUPJHEXOLXU6h,21.19799805,72.83000183,5,4,5,3,5,3,D,F,2,3,3,2,3,3,"The Culture and Passion of Collabera, it is incomparable. ",The downsides depends on person to person basis. As of now the one that i can think of is the attrition of the mid level managers joining their competitors.,"Winning the PC award and visiting Dubai as a token of appreciation for year hard work, reflecting the Work Hard Play Hard culture of collabera. ",4.0,6.0,4.166666666666667,8.11,Delivery Manager,Delivery- Global,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Not Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_5uoLbrZWPJevoiN&Q_CHL=gl,1,Asian,1.0,0.0
U293,100,446,TRUE,R_2TSI03TGAruZWxJ,22.30029297,73.20509338,5,5,5,5,5,5,F,F,3,3,4,3,3,2,Good wokring culture and environment arounf everywhere in office,we are deeprived with our social life and stuck in night life ,"we feel like family we share a bond to each other .
we care about company as a single entity",6.0,6.0,5.0,5.35,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_8GKueOX7piOAyZD&Q_CHL=gl,1,Asian,,
U101,100,1258,TRUE,R_1FvIBNyt8cmqqyZ,22.30029297,73.20509338,5,5,5,4,5,3,D,B,1,3,3,3,3,2,"Best part about working at Collabera is the culture we follow here, the open door policy. I don't have to think twice before reaching out to someone who is 3 levels above me. The management is always very considerate about to professional as well as the personal challenges anyone might be facing.","Growth opportunities are not available in all the departments, after a certain point it comes to a point of saturation for some people.","Collabera is the only organisation I know that thinks and spends so much on the well being of its employee, be it global EAW or yearly Blaze.",4.0,2.0,4.5,9.51,Account Manager,National Accounts,Sales,Sales,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1986,Female,Asian,Not Applicable,Not Applicable,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_1BMbzWS0v7GSq33&Q_CHL=gl,1,Asian,,
U292,100,520,TRUE,R_1OwzwvTxmvSjxtw,22.30029297,73.20509338,5,5,5,5,5,5,B,D,2,4,3,3,3,2,"I like to work with Collabera, because I started my career here. I am so comfortable with the work culture and moreover I like working as a Recruiter. I know incentives are there for a hire, but then there is a different level of satisfaction to help someone get a job.","The only downside for me is working in night shift and also too much team change for me due to management's decision, and got very less growth here.","I like how they are trying to implement employee engagement & Performance management plans, but then it is not fully implemented. Lot of work needs to be done.",2.0,4.0,5.0,5.37,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1991,Female,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_9BRxL23MTUM4CvX&Q_CHL=gl,1,Asian,1.0,1.0
U259,100,736,TRUE,R_9vHMmI8nLWGjZLj,22.30029297,73.20509338,5,5,5,5,5,3,G,D,2,3,2,2,2,3,"Work culture, Recognition, work environment, people, reputed company among other staffing companies, Local to my place","Sometimes undeserved person gets promoted, we talk about cross regional / department recruiting but support we get from other regions/department is less","Since I like Collabera culture, I have a positive stories only. Approx 2 years back I was really frustrated with my performance. I was thinking of leaving  but kind of support I got from my colleagues/managers were exceptional and I decided to stay, not just that I won Blaze a year after that :)",7.0,4.0,4.666666666666667,5.79,Lead Recruiter,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Achieved,https://stanfordgsb.qualtrics.com/jfe/form/SV_38dr9nHMwN9McUR?Q_DL=54948zKMDgUkF11_38dr9nHMwN9McUR_MLRP_3aCEM6yJMUaewfz&Q_CHL=gl,1,Asian,1.0,1.0
