,Gender,Race,mael_avg,bergami_org,bergami_dept,pros,cons,story,Coding Notes
U1204,Female,White,3.1666666666666665,B,C,Great opportunity for growth and mentorship! People coming here know they have the chance to grow quicker than they could at a bigger company. ,Some process oriented issues and some poor management in certain regions ,High energy leadership like Nick Hall and Jeff Bonci. It makes me want to work for managers that really care and are fired up about their business.  ,"Mentions multiple topics like growth, mentorship, management and leadership. Story isn't about culture."
U1657,Female,White,3.8333333333333335,A,C,"As a new hire who started during the pandemic, I don't have a solid answer for this yet. I'm excited by the scope of capabilities outside of traditional staff aug which allow us to provide additional value to our clients and targets.","Lack of access to cross-enterprise knowledge. Example: SAT team may be going after a target, but regional AMs cannot see their activity in myCMS. Need a consolidated repository for tracking activity. ",I'm a new hire and do not yet have an experience to share for this topic. ,"Some answers should be marked 'not applicable to me', which is not something to worry about in a glassdoor setting. In this response, both pros and story are non-responses"
U1028,Male,White,3.3333333333333335,E,G,"Some of the pros include: Flexibility, Culture, People, Freedom, Growth","Some of the Cons include: Ups and Downs of the job, Having a draw",Making things work during COVID and keeping the people.,Some answers in bulletpoint format
U189,Male,Asian,3.6666666666666665,B,B,"Infrastructure, Tools and Technologies. We walk and follow the company core values.","No value for tenured resources, Lot of politics internally and no proper salary structure, Everyone know they are getting exploited. Company earns in dollars and give peanuts in return. ",I have been blessed to work with some managers who actually lived those 5 core values and made my life and work very easy but not everyone is like that. ,Length of cons and pros list might be a good indicator overall sentiment. Refers to company values a lot
U1591,Male,Asian,4.5,C,F,"1. Good work environment.
2. Company goals resonate with me.
3. The colleagues are very helpful.
4. Overall development for an employee.","No such major downside from my side, but only thing i can suggest is that we can take a step towards implementing some of the latest digital technologies within the company work structure.",Collabera's culture is very professional and inclusive. Collabera cares about there employees and help them in every way possible so that they perform well for the company as well as for personal growth.,Bullet point formats. Need to pre-process to remove bulletpoints and new lines. Some typos. Variation between org and dept bergami measure
U692,Male,White,3.1666666666666665,B,E,My immediate team who report into me and the friends i have throughout the company. ,I feel there is a constant pull and struggle among leadership and as a company we are all not on the same page which negatively affects day to day operations. ,I feel i have experienced more of a negative downside rather than a positive upside. ,Stories are more descriptive
U890,Female,Asian,3.3333333333333335,F,F,"Collabera had given me a great opportunity to learn many new things which help me in day in day out
Collabera provide several new competitions which helps in keep us engage and hard work for our work
There are many courses and certification which can enhance your qualification and knowledge",There is no any specific downside from my end for Collabera apart from working hours,"So when i joined there were very good trainers who taught us about whole process and other things as well
At the time of deployment my trainers have 2 options for me but they choose the best one for me and after i deployed i got to learn lot many things new from my manager so that was very helpful for me 
Collabera people have very helpful and decent nature they will support with any kind of help doesn't matter if you are in a same or different team",Pronoun usage not that consistent
U1399,Male,White,4.5,E,E,OVerall great with good people who know the business.,Too many processes and people involved with every transaction. There is 10 teams that get involved whenever anything happens.,Celebrating every ones success no matter how big or small is great to see.,Incomplete sentences very normal
U1002,Male,Asian,4.0,E,E,"I Love to work at Collabera because I find Collabera one of the Top and Best Staffing Agency in US
2. Digitally Enabled
3. Best Culture and Client-Centric ",Not sure what I feel is downside but for Me its PST times and 10 hours shift with No WFH flexiblity (Post Pandemic)and Health Insurance which doesn't support / include parents.,"I would like to talk about Collabera's 3 Culture: Passionate to Serve Clients and Employees. Due to recent event of COVID 19, everyone was Panicked as this is a direct threat to life but Collabera Family and my Team stood strong and we all demonstrated that we are Passionate to Serve. ",love and passion
U1311,Female,Asian,3.5,G,F,Working with Collabera has been an amazing experience.It has showed me what exactly a corporate firm looks like and it really has helped me learn a lot about the American work culture and understand the people out there.,"With Collabera it can exactly be called a downside but for beginners, this huge shift from sleeping at nights to working at nights can take a lot of time to adjust with and  change your entire schedule accordingly.",It is this one incident where we received appreciation from our IBM managers. We did receive an open position and with Delivery's help we were able to submit a perfect candidate the very same day and got a hire for him as well. The manager was so impressed by our understanding of the client needs and responsive behaviour that not only did he appraise us but know we have started receiving direct positions with him.,Flexibility
U902,Female,Asian,4.333333333333333,G,G,"They gave me an opportunity to start my career in IT as a dot net developer ,I am very proud to be a part of  Collabera!","Nothing like that,I dint find any downsides in collabera!","Abundant Training & Professional Development.
Flexible Schedules.",pride
U1478,Female,Missing,5.0,H,H,"Rewarding, constantly learning and growing, making great connections, networking","Small reward i.e. small commission amount, constant changes/ high turn over","When I first started at Collabera we had a team outing to the baseball game which showed how great the culture is at Collabera and made me feel very welcome, I felt like I fit in with the team right away it was a very positive experience and great way to start my new job. ",Fit
U1587,Male,Asian,4.5,E,H,"Collabera has highly enthusiastic team, which tend to motivate a person to the core 
According to me the difference in working in collabera compared to any other company is that collabera teaches you and trains you to develop your career in the field, ","Working at collabera in Office and now working from home due to covid, i miss the collabera environment , this is the only downside which i felt.  ","From the day of my first interview at collabera, we discussed about work and along with that we spoke about my future in collabera and the field. we discussed on how we can develop my future in this company and field. at that point i knew this is where i want to work, although i received offers from other companies i had decided collabera is the company where i will be able to learn and work at greater speed and grow simultaneously at greater heights.  ","Growth, covid -related"
U1029,Male,Asian,3.8333333333333335,F,E,The Brand Name and the Brand Value itself defines how good the company is and how well it treats their employees. I am very happy working at Collabera.,It gets very difficult to make people understand that we are not working at a call centre just because we work at night. It doesn't matter what people think. We are the best staffing company.,The company gives a chance to everyone for expressing their views. The most positive aspect will be talent and achievements are recognized in front of top level management no matter if the achievement is small or big. Everything is celebrated and employees are kept motivated at work place.,brand; pride; celebration
U28,Male,Asian,4.166666666666667,E,D,just like family environment working in Collabera. every one so nice and help each other.every day looking forward to go in the  office  ,I don't have any experience that I am feeling like not to go and work for collabera. every one in company are so nice and help each other and also company has lot of activities that make us happy ,we wok hard and play hard.We are in payroll dept so always be calm and listen to our consultants and try make them happy.,we pronoun
U375,Female,Asian,4.166666666666667,E,E,"One of the main & the best reason for me to work at Collabera is my manager Nisha Gor. 
The freedom to work in your own creative way, lot of development & growth opportunities given both personal & professional. the way we celebrate all festivals at Collabera, haven't seen any other company in India doing it.","umm difficult to think of any, but one thing is that one side of business  is given all the limelight and importance and other departments/teams are not given any important or least no matter how much they matter to the company.","I have been working with one the best AM's Kelsey Davies, her work day schedule and the way she partners with me & keeps everyone on toes to ensure we provide the best service to the consultants and the client, truly shows Collabera's value - Passionate to serve clients, employees etc.",cons kind of prompt the they pronoun. 
U1098,Male,Asian,3.8333333333333335,E,F,Collabera believes in success by keeping their employees first.,Business needs to be encouraged to work with Technology as one Team.,"From when I joined till date, whenever I'm in a pickle I can always rely on my peers and management to pull me out. This shows great team spirit and that battles are not fought alone in Collabera.",team spirit
U278,Male,Asian,4.5,G,G,"People Driven Company, Helpful Management and someone is always there to help.",Have to work extended hours that effect personal life and health. ,I always believe in Passion and commitment. Collabera contain that values and inject in everyone that help to achieve dreams and be successful in professional life. Lot of learning and success.,various sentence structures across questions
U721,Female,White,5.0,E,E,i know i can count on good leadership and support ,current environment makes it hard to be successful ,i know my management will always have my back and help me be successful ,mentioning managers
U1343,Female,Asian,4.666666666666667,G,H,"Collabera, is one of the best staffing Firms to start your career with. It taught me to build a passion for the work I do and the ethics of being in the Corporate world.",The night shift can be a little draining if you don't know how to balance your work and personal space.,"The most favorite part of Collabera is the appreciation and gratefulness it has towards its employees. I remember how My Seniors have appreciated me when Ii scored the first 2 hires in a small period of time. Fun fact, it was so overwhelming that I was unable to express my happiness and almost showed like scoring a hire is very normal.",happiness
U957,Male,Asian,4.5,F,G,Very flexible with the way one can approach their work and have a great bunch of people around to work with,"at times Collabera looks only at the numbers which is  not completely accurate, opportunities differ in differ departments. ",Fridays are always fun and we all work and play at the same time which actually represents collabera,fun; stories can be about identity
U1064,Male,White,4.0,E,E,"Culture, creativity, freedom, opportunity to grow within the company","Corporate is slow, unwilling to make decisions based on what we need. We are just a number to upper management","One thing that I try to do is make is special for every new AAM that starts, making signs and personalizing their desks for them","we represents employees, no the corporate; bureaucracy judged to be the downside"
U393,Female,Asian,4.5,F,C,"Collabera's female friendly environment, all the 5 cultural values really resonates in my personal life",Our working hours compared to the other industry standards and the package we offer sometimes makes difficult to tap the potential candidates our competitors,"I faced the first professional challenge for one of my hiring projects for a key customer account. The candidate that had the right skill set-aligned with the client requirement was unwilling to engage with Collabera due to some prior bad-experience. One of the key personal traits that helped me to resolve the issue was my empathetic behavior along with imbibing the Collabera's passion to serve its clients & employees. I decided to engage with the candidate with an approach of listening and understanding the root cause. Based on the discussion, it was clear that the reason of the unhappiness was the absence of feedback on the various applications that the candidate has engaged with our company. On one hand I apologized for the earlier experiences and on the other hand promised her to provide a timely feedback. This helped to secure the candidate for my client and consequently to win business for Collabera. This incidence taught me a great lesson of my life that human are the key resources that defines the success or the failure of an organization hence being passionate in your responsibilities helps you breakthrough the toughest challenges",org and dep identification can be disentangled
U1483,Female,Asian,4.0,E,E,I love to work here. the environment and the people and the team is best to work with.,Dont have Cons. Because working with collabera is good opportunity to make your career more bring. ,"In collabera, right now I am with IBM team, as I can say best team to work with.
I dont have any story but I love my team.",Team is emphasized
U309,Male,Asian,4.166666666666667,C,E,"Exposure of working with best clients in US. Energetic and motivated people.
Collabera offers good opportunity to grow. professionally",Working in night shift sometimes bring negative effects on personal life and reduces social life (outside of Collabera). Long hours should be avoided.,Employee appreciation and rewards for good performance. Got to learn a lot from my leaders which has helped me a lot to grow myself. My immediate manager - Tejas Brambhatt has helped me grow myself at both personal and professional front. My performance manager - Pradeep Nair has always motivated me to give my best and get best results. Onsite NAM - Stephanie M. is also very supportive.,Mentions specific names
U465,Male,Asian,3.1666666666666665,C,F,"Collabera's Environment, work etiquettes, Festives celebration and activities",Downsides of Collabera would be the workload that is being given overall. The amount of avg. salary given is less.,"Celebrations of different festivals like Diwali, Navratri. Being a native Gujarat person I was surprised and happy with the kind of celebrations happening in collabera. The preparations done for each festival was astounding. Also the POB's that are conducted and 2 yr + 5 yr completion celebration is awesome.  ",festivals
U432,Female,Asian,4.333333333333333,B,B,"The culture, competitiveness, the recognition given to the deserving, the platform given to grow.","I would not term it as downside, but just somethings that needs improvisation which will make us shine even more brighter.
1. Equal opportunities in regards to training, projects, etc for Sales.
2. Treat everyone equally. Lessen the favoritism which is clearly visible across.
3. Not only one group/designation level of people should be given all learning and trainings. It should be for people at all level/designations.
4. Individuals who are identified to step up the ladder should also be given opportunity to participate in the business meets and similar gatherings.
5. If you know that it is not an individual resources fault in getting something, then that should not become a reason to stop his/her expected growth/promotion. ","Retaining a candidate, who was super furious with Collabera and was threatening to sue us.
Getting the margins (GP/GPM) of that candidate to positive from negative, and then that candidate feeling happy about the help I did and giving a positive feedback to our business excellence. ",Growth not necessarily related to identification
U71,Male,Asian,5.0,F,H,The opportunity to learn and grow is immense at Collabera. We are like a family and that feeling is what has kept with Collabera for my tenure. ,"Some of the processes are very stringent and business friendly, making it a little difficult for Delivery to produce with feeling pressurized. ","It was my first year as a DM and for first six months struggling to ensure that my delivery team is performing and have a good impression in front of the account's leadership. One of my peers and another leader within Collabera, came forward and guided me on various fronts. I had no prior relationship with them, but they helped me as a part of our family culture. As a result, not only did I overcome the challenges, but my team and I had one of the best years in the history of the account. ",Family and growth seemed to be important for identification
