uid,Progress,Duration (in seconds),Finished,bergami_org,bergami_dept,pros,cons,story,bergami_org_num,bergami_dept_num,mael_avg,Length of Service in Years,Job Title,Division,Department,Function,Work Location,Work State,Work Country,Legal Entity Name,Year of Birth,Gender,EEO Code,2019 Performance,2020 Performance,Collabera,2019_perf_dummy,2020_perf_dummy,disengagement,exhaustion,burnout,race,low_quality_response,pros_toks,cons_toks,story_toks,pros_we,pros_i,pros_they,cons_we,cons_i,cons_they,story_we,story_i,story_they,pros_cleaned,cons_cleaned,story_cleaned,pros_toks_len,cons_toks_len,story_toks_len,glassdoor_toks,glassdoor_cleaned,glassdoor_toks_len,low_quality_pros,low_quality_cons,low_quality_story
U169,100,415,True,G,H,It's our second home and family :) Collabera has given me a identity what I am today as a person ,"I know we work in US culture, but leaves should be given on Indian festivals as we miss sometimes some special moments with our family too ","We at collabera always work as a team and work with a very healthy competition

We are   insanely competitive ",7.0,8.0,5.0,7.46,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1992,Female,Asian,Achieved,Achieved,1,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,Asian,0,"['second', 'home', 'family', ':)', 'given', 'identity', 'today', 'person']","['know', 'culture', 'leaf', 'given', 'indian', 'festival', 'miss', 'special', 'moment', 'family']","['team', 'healthy', 'competition', 'insanely', 'competitive']",1,2,0,4,1,0,2,0,0,second home family :) given identity today person,know culture leaf given indian festival miss special moment family,team healthy competition insanely competitive,8,10,5,"['second', 'home', 'family', ':)', 'given', 'identity', 'today', 'person', 'know', 'culture', 'leaf', 'given', 'indian', 'festival', 'miss', 'special', 'moment', 'family']",second home family :) given identity today person know culture leaf given indian festival miss special moment family,18,0,0,0
U122,100,348,True,C,F,"I love the support and partnerships built through my work. I feel we make an impact with our end clients, but also with each candidate - at the end of the day, my job helps others, which is very important to me!","I feel there is too much dumped on some, while others have a light load. ",Work hard/play hard - numerous accounts of my team staying to support positions in the evenings and weekends! I love the mentality that Collabera brings to do things quickly and efficiently. ,3.0,6.0,4.666666666666667,8.56,Senior Account Manager,Enterprise Services Group,Sales,Sales,Reston (Sunrise Valley),Virginia,U.S.A.,Collabera Inc.,1986,Female,White,Not Applicable,Not Applicable,1,,,1.3333333333333333,2.6666666666666665,2.0,White,0,"['love', 'support', 'partnership', 'built', 'feel', 'impact', 'end', 'client', 'candidate', 'end', 'day', 'job', 'help', 'important']","['feel', 'dumped', 'light', 'load']","['hard', 'play', 'hard', 'numerous', 'account', 'team', 'staying', 'support', 'position', 'evening', 'weekend', 'love', 'mentality', 'brings', 'thing', 'quickly', 'efficiently']",2,5,0,0,1,0,0,2,0,love support partnership built feel impact end client candidate end day job help important,feel dumped light load,hard play hard numerous account team staying support position evening weekend love mentality brings thing quickly efficiently,14,4,17,"['love', 'support', 'partnership', 'built', 'feel', 'impact', 'end', 'client', 'candidate', 'end', 'day', 'job', 'help', 'important', 'feel', 'dumped', 'light', 'load']",love support partnership built feel impact end client candidate end day job help important feel dumped light load,18,0,0,0
U165,100,563,True,C,F,Culture and work environment along with my team is the best reason I can say. ,"Yes, It's truly a pressurised environment to work with deep pocket profit. Required more employee centeric approach ","1) Underpay fixed income which is a major concern.
2) Employee can't depend on variables.
3)Flexibility on leaves specially the earned ones.
4)Work culture is really really good which includes employee engagement activities.
",3.0,6.0,3.5,7.57,Delivery Lead,Managed Services,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1981,Male,Asian,Achieved,Achieved,1,1.0,1.0,2.3333333333333335,1.6666666666666667,2.0,Asian,0,"['culture', 'environment', 'team', 'best', 'reason']","['yes', 'truly', 'pressurised', 'environment', 'deep', 'pocket', 'profit', 'required', 'centeric', 'approach']","['underpay', 'fixed', 'income', 'major', 'concern', 'depend', 'variable', 'flexibility', 'leaf', 'specially', 'earned', 'one', 'culture', 'includes', 'engagement', 'activity']",0,2,0,0,0,0,0,0,0,culture environment team best reason,yes truly pressurised environment deep pocket profit required centeric approach,underpay fixed income major concern depend variable flexibility leaf specially earned one culture includes engagement activity,5,10,16,"['culture', 'environment', 'team', 'best', 'reason', 'yes', 'truly', 'pressurised', 'environment', 'deep', 'pocket', 'profit', 'required', 'centeric', 'approach']",culture environment team best reason yes truly pressurised environment deep pocket profit required centeric approach,15,0,0,0
U72,100,1024,True,F,G,"I don't feel like just an employee, here my opinion matters. individual development has equal importance. ",pressure to deliver best at all time is some time difficult and can drain you out. ,"""Work hard, Play Hard""... we work hard everyday to outperform the competition and when the time comes to celebrate no one no better than us be it ""Employee appreciation week""  ""President's club"" weekly fun activity, lot of contests etc. ",6.0,7.0,4.666666666666667,10.87,Senior Delivery Manager,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1988,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.6666666666666667,2.0,1.8333333333333335,Asian,0,"['feel', 'like', 'opinion', 'matter', 'individual', 'development', 'equal', 'importance']","['pressure', 'deliver', 'best', 'time', 'time', 'difficult', 'drain']","['hard', 'play', 'hard', 'hard', 'everyday', 'outperform', 'competition', 'time', 'come', 'celebrate', 'better', 'appreciation', 'week', ""president's"", 'club', 'weekly', 'fun', 'activity', 'contest', 'etc']",0,2,0,0,0,0,2,0,0,feel like opinion matter individual development equal importance,pressure deliver best time time difficult drain,hard play hard hard everyday outperform competition time come celebrate better appreciation week president's club weekly fun activity contest etc,8,7,20,"['feel', 'like', 'opinion', 'matter', 'individual', 'development', 'equal', 'importance', 'pressure', 'deliver', 'best', 'time', 'time', 'difficult', 'drain']",feel like opinion matter individual development equal importance pressure deliver best time time difficult drain,15,0,0,0
U214,100,554,True,E,F,"The management team I'm a part of, my manager, my team, the spirit, the passion, the drive, the aggressiveness.  Our company rocks.",Lack of communication sometimes which ends up hurting us rather than helping us.  ,There are so many stories about our culture.  Spending Employee Appreciation Week together and seeing the smiling faces of our employees feeling thankful and having fun.  Planning and being a part of International Women's Day and seeing the women at Collabera loving what the company is doing for them.  Traveling around to the different offices and spending time with people on the floor and seeing their passion and the comradery between teammates.,5.0,6.0,5.0,6.53,Senior Vice President,Strategic Accounts Team,Sales,Client Acquisition,Basking Ridge (Allen Road),New Jersey,U.S.A.,Collabera Inc.,1967,Female,White,Not Achieved,Not Achieved,1,0.0,0.0,1.0,1.0,1.0,White,0,"['management', 'team', 'manager', 'team', 'spirit', 'passion', 'drive', 'aggressiveness', 'rock']","['lack', 'communication', 'end', 'hurting', 'helping']","['story', 'culture', 'spending', 'appreciation', 'week', 'seeing', 'smiling', 'face', 'feeling', 'thankful', 'having', 'fun', 'planning', 'international', ""women's"", 'day', 'seeing', 'woman', 'loving', 'traveling', 'different', 'office', 'spending', 'time', 'floor', 'seeing', 'passion', 'comradery', 'teammate']",1,3,0,2,0,0,2,0,2,management team manager team spirit passion drive aggressiveness rock,lack communication end hurting helping,story culture spending appreciation week seeing smiling face feeling thankful having fun planning international women's day seeing woman loving traveling different office spending time floor seeing passion comradery teammate,9,5,29,"['management', 'team', 'manager', 'team', 'spirit', 'passion', 'drive', 'aggressiveness', 'rock', 'lack', 'communication', 'end', 'hurting', 'helping']",management team manager team spirit passion drive aggressiveness rock lack communication end hurting helping,14,0,0,0
U139,100,739,True,D,F,"The Culture and Passion of Collabera, it is incomparable. ",The downsides depends on person to person basis. As of now the one that i can think of is the attrition of the mid level managers joining their competitors.,"Winning the PC award and visiting Dubai as a token of appreciation for year hard work, reflecting the Work Hard Play Hard culture of collabera. ",4.0,6.0,4.166666666666667,8.11,Delivery Manager,Delivery- Global,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Not Achieved,1,1.0,0.0,2.0,2.0,2.0,Asian,0,"['culture', 'passion', 'incomparable']","['downside', 'depends', 'person', 'person', 'basis', 'think', 'attrition', 'mid', 'level', 'manager', 'joining', 'competitor']","['winning', 'pc', 'award', 'visiting', 'dubai', 'token', 'appreciation', 'year', 'hard', 'reflecting', 'hard', 'play', 'hard', 'culture']",0,0,0,0,1,1,0,0,0,culture passion incomparable,downside depends person person basis think attrition mid level manager joining competitor,winning pc award visiting dubai token appreciation year hard reflecting hard play hard culture,3,12,14,"['culture', 'passion', 'incomparable', 'downside', 'depends', 'person', 'person', 'basis', 'think', 'attrition', 'mid', 'level', 'manager', 'joining', 'competitor']",culture passion incomparable downside depends person person basis think attrition mid level manager joining competitor,15,0,0,0
U293,100,446,True,F,F,Good wokring culture and environment arounf everywhere in office,we are deeprived with our social life and stuck in night life ,"we feel like family we share a bond to each other .
we care about company as a single entity",6.0,6.0,5.0,5.35,Associate Delivery Manager,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Not Applicable,Not Applicable,1,,,2.6666666666666665,2.0,2.333333333333333,Asian,0,"['wokring', 'culture', 'environment', 'arounf', 'office']","['deeprived', 'social', 'life', 'stuck', 'night', 'life']","['feel', 'like', 'family', 'share', 'bond', 'care', 'single', 'entity']",0,0,0,2,0,0,3,0,0,wokring culture environment arounf office,deeprived social life stuck night life,feel like family share bond care single entity,5,6,8,"['wokring', 'culture', 'environment', 'arounf', 'office', 'deeprived', 'social', 'life', 'stuck', 'night', 'life']",wokring culture environment arounf office deeprived social life stuck night life,11,0,0,0
U101,100,1258,True,D,B,"Best part about working at Collabera is the culture we follow here, the open door policy. I don't have to think twice before reaching out to someone who is 3 levels above me. The management is always very considerate about to professional as well as the personal challenges anyone might be facing.","Growth opportunities are not available in all the departments, after a certain point it comes to a point of saturation for some people.","Collabera is the only organisation I know that thinks and spends so much on the well being of its employee, be it global EAW or yearly Blaze.",4.0,2.0,4.5,9.51,Account Manager,National Accounts,Sales,Sales,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1986,Female,Asian,Not Applicable,Not Applicable,1,,,2.0,2.3333333333333335,2.166666666666667,Asian,0,"['best', 'culture', 'follow', 'open', 'door', 'policy', 'think', 'twice', 'reaching', 'level', 'management', 'considerate', 'professional', 'personal', 'challenge', 'facing']","['growth', 'opportunity', 'available', 'department', 'certain', 'point', 'come', 'point', 'saturation']","['organisation', 'know', 'think', 'spends', 'global', 'eaw', 'yearly', 'blaze']",1,2,0,0,0,0,0,1,0,best culture follow open door policy think twice reaching level management considerate professional personal challenge facing,growth opportunity available department certain point come point saturation,organisation know think spends global eaw yearly blaze,16,9,8,"['best', 'culture', 'follow', 'open', 'door', 'policy', 'think', 'twice', 'reaching', 'level', 'management', 'considerate', 'professional', 'personal', 'challenge', 'facing', 'growth', 'opportunity', 'available', 'department', 'certain', 'point', 'come', 'point', 'saturation']",best culture follow open door policy think twice reaching level management considerate professional personal challenge facing growth opportunity available department certain point come point saturation,25,0,0,0
U292,100,520,True,B,D,"I like to work with Collabera, because I started my career here. I am so comfortable with the work culture and moreover I like working as a Recruiter. I know incentives are there for a hire, but then there is a different level of satisfaction to help someone get a job.","The only downside for me is working in night shift and also too much team change for me due to management's decision, and got very less growth here.","I like how they are trying to implement employee engagement & Performance management plans, but then it is not fully implemented. Lot of work needs to be done.",2.0,4.0,5.0,5.37,Lead Recruiter,Enterprise Services Group,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1991,Female,Asian,Achieved,Achieved,1,1.0,1.0,2.3333333333333335,2.6666666666666665,2.5,Asian,0,"['like', 'started', 'career', 'comfortable', 'culture', 'like', 'recruiter', 'know', 'incentive', 'hire', 'different', 'level', 'satisfaction', 'help', 'job']","['downside', 'night', 'shift', 'team', 'change', ""management's"", 'decision', 'got', 'growth']","['like', 'trying', 'implement', 'engagement', 'performance', 'management', 'plan', 'fully', 'implemented', 'need']",0,6,0,0,2,0,0,1,1,like started career comfortable culture like recruiter know incentive hire different level satisfaction help job,downside night shift team change management's decision got growth,like trying implement engagement performance management plan fully implemented need,15,9,10,"['like', 'started', 'career', 'comfortable', 'culture', 'like', 'recruiter', 'know', 'incentive', 'hire', 'different', 'level', 'satisfaction', 'help', 'job', 'downside', 'night', 'shift', 'team', 'change', ""management's"", 'decision', 'got', 'growth']",like started career comfortable culture like recruiter know incentive hire different level satisfaction help job downside night shift team change management's decision got growth,24,0,0,0
U259,100,736,True,G,D,"Work culture, Recognition, work environment, people, reputed company among other staffing companies, Local to my place","Sometimes undeserved person gets promoted, we talk about cross regional / department recruiting but support we get from other regions/department is less","Since I like Collabera culture, I have a positive stories only. Approx 2 years back I was really frustrated with my performance. I was thinking of leaving  but kind of support I got from my colleagues/managers were exceptional and I decided to stay, not just that I won Blaze a year after that :)",7.0,4.0,4.666666666666667,5.79,Lead Recruiter,Regional,Recruitment,Technical Recruitment,Vadodara (CH2),Gujarat,India,Collabera Services Private Limited,1990,Male,Asian,Achieved,Achieved,1,1.0,1.0,1.6666666666666667,2.3333333333333335,2.0,Asian,0,"['culture', 'recognition', 'environment', 'reputed', 'staffing', 'company', 'local', 'place']","['undeserved', 'person', 'get', 'promoted', 'talk', 'cross', 'regional', 'department', 'recruiting', 'support', 'region', 'department']","['like', 'culture', 'positive', 'story', 'approx', 'year', 'frustrated', 'performance', 'thinking', 'leaving', 'kind', 'support', 'got', 'colleague', 'manager', 'exceptional', 'decided', 'stay', 'won', 'blaze', 'year', ':)']",0,1,0,2,0,0,0,9,0,culture recognition environment reputed staffing company local place,undeserved person get promoted talk cross regional department recruiting support region department,like culture positive story approx year frustrated performance thinking leaving kind support got colleague manager exceptional decided stay won blaze year :),8,12,22,"['culture', 'recognition', 'environment', 'reputed', 'staffing', 'company', 'local', 'place', 'undeserved', 'person', 'get', 'promoted', 'talk', 'cross', 'regional', 'department', 'recruiting', 'support', 'region', 'department']",culture recognition environment reputed staffing company local place undeserved person get promoted talk cross regional department recruiting support region department,20,0,0,0
